,embedding__n_grams,embedding__tipo_embedding,model__model_type,normalization__tipo_normalizacao,preprocessing__aplicar_processamento,mean_test_score,std_test_score
0,1,BOW,LogisticRegression_None,nenhuma,True,0.48107198739430834,0.02475981168659744
1,1,BOW,LogisticRegression_None,nenhuma,False,0.4971349943486167,0.031825858632701355
2,1,BOW,LogisticRegression_None,minmax,True,0.42850527752552986,0.023033941779187262
3,1,BOW,LogisticRegression_None,minmax,False,0.4343497720440683,0.01863238060974383
4,1,BOW,LogisticRegression_None,standard,True,0.5086920603865256,0.03203255179042923
5,1,BOW,LogisticRegression_None,standard,False,0.5216613874282596,0.02014001701300883
6,1,BOW,LogisticRegression_L1,nenhuma,True,0.4829748603921882,0.02292691894947641
7,1,BOW,LogisticRegression_L1,nenhuma,False,0.5104286309850452,0.021794330757996475
8,1,BOW,LogisticRegression_L1,minmax,True,0.4226597737989472,0.029797795983347194
9,1,BOW,LogisticRegression_L1,minmax,False,0.4195507022984877,0.024851712722315726
10,1,BOW,LogisticRegression_L1,standard,True,0.5096996585797794,0.03865995622305088
11,1,BOW,LogisticRegression_L1,standard,False,0.5243834264157218,0.019554160647068847
12,1,BOW,LogisticRegression_L2,nenhuma,True,0.48107198739430834,0.02475981168659744
13,1,BOW,LogisticRegression_L2,nenhuma,False,0.4971349943486167,0.031825858632701355
14,1,BOW,LogisticRegression_L2,minmax,True,0.42850527752552986,0.023033941779187262
15,1,BOW,LogisticRegression_L2,minmax,False,0.4343497720440683,0.01863238060974383
16,1,BOW,LogisticRegression_L2,standard,True,0.5086920603865256,0.03203255179042923
17,1,BOW,LogisticRegression_L2,standard,False,0.5216613874282596,0.02014001701300883
18,1,BOW,LogisticRegression_ElasticNet,nenhuma,True,0.0032441200324412004,0.0022939392739222955
19,1,BOW,LogisticRegression_ElasticNet,nenhuma,False,0.0032441200324412004,0.0022939392739222955
20,1,BOW,LogisticRegression_ElasticNet,minmax,True,0.4263198186598259,0.026104564201043037
21,1,BOW,LogisticRegression_ElasticNet,minmax,False,0.4283315529041681,0.02268273908083562
22,1,BOW,LogisticRegression_ElasticNet,standard,True,0.46509859203445125,0.022748071549705255
23,1,BOW,LogisticRegression_ElasticNet,standard,False,0.4649713453759344,0.018659675503856946
24,1,BOW,DecisionTree,nenhuma,True,0.6436203327132235,0.005656391708998289
25,1,BOW,DecisionTree,nenhuma,False,0.6389640480113047,0.04033712182408104
26,1,BOW,DecisionTree,minmax,True,0.6430615600733466,0.010797608919793348
27,1,BOW,DecisionTree,minmax,False,0.6366912677419126,0.043074180185423264
28,1,BOW,DecisionTree,standard,True,0.6405019186031797,0.009962449335599977
29,1,BOW,DecisionTree,standard,False,0.6409361962900983,0.03791468603533127
30,1,BOW,RandomForest,nenhuma,True,0.6989789327613328,0.00783871882419809
31,1,BOW,RandomForest,nenhuma,False,0.6914927852403112,0.024876336570965656
32,1,BOW,RandomForest,minmax,True,0.6980216685643489,0.012758472591946235
33,1,BOW,RandomForest,minmax,False,0.6867715813297756,0.023236083016770114
34,1,BOW,RandomForest,standard,True,0.7061727620467341,0.009322669575329462
35,1,BOW,RandomForest,standard,False,0.6881518259445945,0.02450237662710995
36,1,TF-IDF,LogisticRegression_None,nenhuma,True,0.4086703005463283,0.0033103457989777504
37,1,TF-IDF,LogisticRegression_None,nenhuma,False,0.3894352373084728,0.0025350615174726293
38,1,TF-IDF,LogisticRegression_None,minmax,True,0.4314180293856594,0.015516418483111536
39,1,TF-IDF,LogisticRegression_None,minmax,False,0.45788719404767103,0.025951406300065212
40,1,TF-IDF,LogisticRegression_None,standard,True,0.5186869231561969,0.01809421746777934
41,1,TF-IDF,LogisticRegression_None,standard,False,0.5048544336102858,0.005583009014684364
42,1,TF-IDF,LogisticRegression_L1,nenhuma,True,0.4527019564859646,0.013195414750070132
43,1,TF-IDF,LogisticRegression_L1,nenhuma,False,0.4598575180503138,0.0178589317075883
44,1,TF-IDF,LogisticRegression_L1,minmax,True,0.456525007654573,0.0077971850970806195
45,1,TF-IDF,LogisticRegression_L1,minmax,False,0.46795341115327505,0.03365676144224286
46,1,TF-IDF,LogisticRegression_L1,standard,True,0.5193902010955475,0.01414900216611238
47,1,TF-IDF,LogisticRegression_L1,standard,False,0.5006487744064204,0.005406686296584729
48,1,TF-IDF,LogisticRegression_L2,nenhuma,True,0.4086703005463283,0.0033103457989777504
49,1,TF-IDF,LogisticRegression_L2,nenhuma,False,0.3894352373084728,0.0025350615174726293
50,1,TF-IDF,LogisticRegression_L2,minmax,True,0.4314180293856594,0.015516418483111536
51,1,TF-IDF,LogisticRegression_L2,minmax,False,0.45788719404767103,0.025951406300065212
52,1,TF-IDF,LogisticRegression_L2,standard,True,0.5186869231561969,0.01809421746777934
53,1,TF-IDF,LogisticRegression_L2,standard,False,0.5048544336102858,0.005583009014684364
54,1,TF-IDF,LogisticRegression_ElasticNet,nenhuma,True,0.4345702948032915,0.01540366911291538
55,1,TF-IDF,LogisticRegression_ElasticNet,nenhuma,False,0.43515032835833317,0.013708170623053057
56,1,TF-IDF,LogisticRegression_ElasticNet,minmax,True,0.4366789631069256,0.01360709609373048
57,1,TF-IDF,LogisticRegression_ElasticNet,minmax,False,0.46120278184639085,0.02647696555219823
58,1,TF-IDF,LogisticRegression_ElasticNet,standard,True,0.49581324578952946,0.02217661827150288
59,1,TF-IDF,LogisticRegression_ElasticNet,standard,False,0.5038156745108248,0.009871966972869428
60,1,TF-IDF,DecisionTree,nenhuma,True,0.6599286639116106,0.01957771246271781
61,1,TF-IDF,DecisionTree,nenhuma,False,0.6281779811652155,0.035121608505399235
62,1,TF-IDF,DecisionTree,minmax,True,0.6640714461550629,0.021604882320214968
63,1,TF-IDF,DecisionTree,minmax,False,0.623525931825172,0.0328786873186183
64,1,TF-IDF,DecisionTree,standard,True,0.6654557812175653,0.02255496243105296
65,1,TF-IDF,DecisionTree,standard,False,0.6331380142832296,0.036733928353233816
66,1,TF-IDF,RandomForest,nenhuma,True,0.7177793599617077,0.014263795852856595
67,1,TF-IDF,RandomForest,nenhuma,False,0.6873426925952733,0.018438598909678833
